Correlation of SP -absolutevalue),intra condition
0.95921146530187,CONTROL
0.910105451377428,CONTROL
0.943842285584476,CONTROL
0.920135766871324,CONTROL
0.920318652313586,CONTROL
0.940812151501187,CONTROL
0.90296830215169,CONTROL
0.916283966639483,CONTROL
0.974700767728613,CONTROL
0.946195266104597,CONTROL
0.96433669686058,CONTROL
0.963885030732681,CONTROL
0.952546832978028,CONTROL
0.889660690283865,CONTROL
0.938777742211534,CONTROL
0.924459081545815,CONTROL
0.968163769859462,CONTROL
0.916516220806043,CONTROL
0.968751255661515,CONTROL
0.963853976016048,CONTROL
0.949116964539608,CONTROL
0.973855327505421,CONTROL
0.921171626155123,CONTROL
0.856749456722891,CONTROL
0.871808162618072,CONTROL
0.915208750083902,CONTROL
0.953203803384894,CONTROL
0.926704639359433,CONTROL
0.952901380665786,CONTROL
0.923879884079743,CONTROL
0.930613122361942,CONTROL
0.926025202386586,CONTROL
0.913599928391323,CONTROL
0.851647968667737,CONTROL
0.824212710582853,CONTROL
0.863912392473977,CONTROL
0.894135336799568,CONTROL
0.837071209345447,CONTROL
0.941184866479689,CONTROL
0.890148248861551,CONTROL
0.932283187199187,CONTROL
0.903649613076073,CONTROL
0.872981184856,CONTROL
0.912640837693791,CONTROL
0.812928702129134,CONTROL
0.926759762067977,CONTROL
0.925627998036878,CONTROL
0.907106509859225,CONTROL
0.939427249968094,CONTROL
0.845671725432287,CONTROL
0.963611355081077,CONTROL
0.897555885062789,CONTROL
0.953268666433161,CONTROL
0.941614448053514,CONTROL
0.964302669105663,CONTROL
0.935205248580804,CONTROL
0.931128143853061,CONTROL
0.913390882629931,CONTROL
0.989155674237508,CONTROL
0.965168929268135,CONTROL
0.974423998545314,CONTROL
0.974947864140953,CONTROL
0.928062314562796,CONTROL
0.90470690793365,CONTROL
0.906339974491137,CONTROL
0.899008250987487,CONTROL
0.911140075930447,CONTROL
0.941140783582848,CONTROL
0.950639952297673,CONTROL
0.957042355534976,CONTROL
0.965840784008432,CONTROL
0.895850662872606,CONTROL
0.972485612105847,CONTROL
0.991406518235367,CONTROL
0.938366335165328,CONTROL
0.972424246729696,CONTROL
0.920883412200065,CONTROL
0.921999231578283,CONTROL
0.870389383884698,UWS
0.843708227248844,UWS
0.775854526428851,UWS
0.797875979165875,UWS
0.882007321987982,UWS
0.874027609907414,UWS
0.80443485670801,UWS
0.89080621562753,UWS
0.857504259433491,UWS
0.625168727857754,UWS
0.385134667781895,UWS
0.658596245455755,UWS
0.89889720248152,UWS
0.765067762856757,UWS
0.896042677188268,UWS
0.926969662730054,UWS
0.941984970844033,UWS
0.789550829551204,UWS
0.923854954592812,UWS
0.922878152244546,UWS
0.711379170177084,UWS
0.437832181570691,UWS
0.789526197697098,UWS
0.738462965945202,UWS
0.85807106312661,UWS
0.90330792333047,UWS
0.92394875444846,UWS
0.725005192299193,UWS
0.908744990818973,UWS
0.896477270113483,UWS
0.771533511197456,UWS
0.430664422006117,UWS
0.837168199325557,UWS
0.632589021953844,UWS
0.76015615373227,UWS
0.668559022043618,UWS
0.794363425075348,UWS
0.763095742997969,UWS
0.670260710333671,UWS
0.479228610638735,UWS
0.558670883450036,UWS
0.558534396504676,UWS
0.814401644602791,UWS
0.913241978107816,UWS
0.679007923675697,UWS
0.865441175687636,UWS
0.899164274997719,UWS
0.775220450930217,UWS
0.487809392851307,UWS
0.674891906841753,UWS
0.931994641628974,UWS
0.858557530177828,UWS
0.920079236753116,UWS
0.897616124059573,UWS
0.649926148773785,UWS
0.385137782147391,UWS
0.770589953745146,UWS
0.758640666576599,UWS
0.952035522131689,UWS
0.967700971136147,UWS
0.769204238426407,UWS
0.434001659873204,UWS
0.806252483558198,UWS
0.81715681700744,UWS
0.753593915102708,UWS
0.534952534434198,UWS
0.389066977537782,UWS
0.500656498502577,UWS
0.936415007952781,UWS
0.699846720506849,UWS
0.447704390994849,UWS
0.782424387000849,UWS
0.740561959232231,UWS
0.442581978615236,UWS
0.794302557923998,UWS
0.338087161413964,UWS
0.64481083980313,UWS
0.395999669634453,UWS
0.951769328602345,SLEEP
0.962799704927541,SLEEP
0.955714764346149,SLEEP
0.960848679573648,SLEEP
0.952994067337972,SLEEP
0.931377347824949,SLEEP
0.62753014398518,SLEEP
0.553565755404953,SLEEP
0.592984176438525,SLEEP
0.975033327333721,SLEEP
0.978609772629905,SLEEP
0.945137842208213,SLEEP
0.959811719158287,SLEEP
0.972482715926465,SLEEP
0.682361133694854,SLEEP
0.613956206000431,SLEEP
0.661996453287241,SLEEP
0.967388869100697,SLEEP
0.977675798337611,SLEEP
0.959505132859812,SLEEP
0.974405135621884,SLEEP
0.665403977045241,SLEEP
0.596528541246188,SLEEP
0.651899850004868,SLEEP
0.940997675194804,SLEEP
0.976208913319818,SLEEP
0.954313366627609,SLEEP
0.660973766106992,SLEEP
0.570424493033518,SLEEP
0.634629154933342,SLEEP
0.943469506673056,SLEEP
0.947119136094456,SLEEP
0.59516142544443,SLEEP
0.544451373143705,SLEEP
0.585673916883565,SLEEP
0.954615174397068,SLEEP
0.618429037223135,SLEEP
0.55670682956674,SLEEP
0.60193498453549,SLEEP
0.650877900147498,SLEEP
0.602333049857208,SLEEP
0.643899933236484,SLEEP
0.919793851409723,SLEEP
0.948613115756839,SLEEP
0.964888444784963,SLEEP
